test,status,setup_time,solve_time,run_time,obj,phi,iters,,16
AUG2D,QOCO_SOLVED,0.010538,0.0287405,0.0392785,1677511.753,0,1,,
AUG2DC,QOCO_SOLVED,0.0127598,0.0312704,0.0440302,1808268.066,0,1,,
AUG2DCQP,QOCO_SOLVED,0.012603,0.5323992,0.5450022,6488034.739,6.42E-10,24,,
AUG2DQP,QOCO_SOLVED,0.013211,0.6820791,0.6952901,6227112.025,9.29E-09,37,,
AUG3D,QOCO_SOLVED,0.0033157,0.0058632,0.0091789,-782.4322742,0,1,,
AUG3DC,QOCO_SOLVED,0.0024817,0.006456,0.0089377,-1165.237561,0,1,,
AUG3DCQP,QOCO_SOLVED,0.0026875,0.119431,0.1221185,-943.1378524,3.48E-09,36,,
AUG3DQP,QOCO_SOLVED,0.0034049,0.2258306,0.2292355,-661.2623125,6.09E-09,63,,
CVXQP1_M,QOCO_SOLVED,0.0021429,0.2529424,0.2550853,1087511.568,3.39E-13,32,,
CVXQP1_S,QOCO_SOLVED,0.0002021,0.00203,0.0022321,11590.71808,2.51E-12,16,,
CVXQP2_M,QOCO_SOLVED,0.0015918,0.1585461,0.1601379,820155.4326,2.19E-13,31,,
CVXQP2_S,QOCO_SOLVED,0.0001973,0.001654,0.0018513,8120.940459,9.72E-15,15,,
CVXQP3_M,QOCO_SOLVED,0.0025952,0.313182,0.3157772,1362823.641,9.85E-10,35,,
CVXQP3_S,QOCO_SOLVED,0.0002182,0.0015007,0.0017189,11943.43214,5.24E-09,10,,
DTOC3,QOCO_SOLVED,0.0063525,0.0137549,0.0201074,235.2625781,4.89E-14,3,,
DUAL1,QOCO_SOLVED,0.0001965,0.004831,0.0050275,0.035013081,1.08E-09,16,,
DUAL2,QOCO_SOLVED,0.0002602,0.0071972,0.0074574,0.033733685,4.83E-10,15,,
DUAL3,QOCO_SOLVED,0.0003154,0.0099189,0.0102343,0.135756115,7.33E-09,15,,
DUAL4,QOCO_SOLVED,0.0002232,0.0031568,0.00338,0.746091006,1.01E-09,13,,
DUALC1,QOCO_SOLVED,0.0001218,0.001658,0.0017798,6155.538966,2.30E-09,11,,
DUALC2,QOCO_SOLVED,0.0001425,0.0014289,0.0015714,3551.307711,3.21E-16,11,,
DUALC5,QOCO_SOLVED,0.0001509,0.0010188,0.0011697,427.2323926,2.07E-13,6,,
DUALC8,QOCO_SOLVED,0.0003022,0.0022711,0.0025733,18309.36389,1.99E-10,6,,
GENHS28,QOCO_SOLVED,2.63E-05,7.28E-05,9.91E-05,0.927173694,0,1,,
GOULDQP2,QOCO_SOLVED,0.0010845,0.0124473,0.0135318,0.000184539,3.00E-09,24,,
GOULDQP3,QOCO_SOLVED,0.0006575,0.0125239,0.0131814,-29647.83716,6.02E-09,22,,
HS118,QOCO_SOLVED,7.57E-05,0.0015138,0.0015895,664.8204505,1.81E-13,26,,
HS21,QOCO_SOLVED,1.72E-05,0.0002351,0.0002523,0.040000048,6.83E-12,8,,
HS268,QOCO_SOLVED,2.59E-05,9.81E-05,0.000124,-14462.13938,1.33E-09,2,,
HS35,QOCO_SOLVED,3.51E-05,0.0002648,0.0002999,-8.888888521,5.16E-13,5,,
HS35MOD,QOCO_SOLVED,2.57E-05,0.000328,0.0003537,-8.749999995,1.70E-10,6,,
HS51,QOCO_SOLVED,1.56E-05,6.67E-05,8.23E-05,-6,0,1,,
HS52,QOCO_SOLVED,1.61E-05,6.99E-05,8.60E-05,-0.673352436,0,1,,
HS53,QOCO_SOLVED,2.34E-05,9.98E-05,0.0001232,-1.906976744,3.01E-10,2,,
HS76,QOCO_SOLVED,2.30E-05,0.0001912,0.0002142,-4.681816046,5.47E-12,5,,
HUES-MOD,QOCO_MAX_ITER,0.0043255,1.4634808,Inf,8155006272,1.59E-08,200,,
HUESTIS,QOCO_MAX_ITER,0.004404,1.6969284,Inf,3.50055E+11,1.09E-08,200,,
KSIP,QOCO_MAX_ITER,0.001268,0.4050339,Inf,0.608004971,1.29E-06,200,,
LISWET1,QOCO_SOLVED,0.0071062,0.0775568,0.084663,-2500.402627,7.01E-10,13,,
LISWET10,QOCO_SOLVED,0.0059238,0.0775287,0.0834525,-2500.94558,4.03E-09,13,,
LISWET11,QOCO_SOLVED,0.0058694,0.07644,0.0823094,-2500.747779,4.27E-09,13,,
LISWET12,QOCO_MAX_ITER,0.0073366,2.4228021,Inf,-2500.747248,3.01E-09,200,,
LISWET2,QOCO_SOLVED,0.0051739,0.0548618,0.0600357,-1666.990006,1.60E-10,11,,
LISWET3,QOCO_SOLVED,0.0051239,0.0493471,0.054471,-1000.256717,1.62E-10,11,,
LISWET4,QOCO_SOLVED,0.0054592,0.0574387,0.0628979,-714.513828,1.64E-10,11,,
LISWET5,QOCO_SOLVED,0.0051131,0.0746459,0.079759,-15976.15538,1.83E-09,14,,
LISWET6,QOCO_SOLVED,0.0060297,0.067271,0.0733007,-2162.222301,3.98E-09,13,,
LISWET7,QOCO_SOLVED,0.0054814,0.081564,0.0870454,-2500.256083,1.51E-10,16,,
LISWET8,QOCO_SOLVED,0.0053721,0.0854243,0.0907964,-2500.255991,3.34E-10,16,,
LISWET9,QOCO_SOLVED,0.0058838,0.0875949,0.0934787,-2500.256033,3.22E-09,17,,
LOTSCHD,QOCO_SOLVED,5.32E-05,0.0006845,0.0007377,2398.414623,2.88E-10,9,,
MOSARQP1,QOCO_SOLVED,0.0017544,0.0434921,0.0452465,-952.8754218,1.16E-09,21,,
MOSARQP2,QOCO_SOLVED,0.0013464,0.0418559,0.0432023,-1597.481953,8.40E-09,26,,
POWELL20,QOCO_MAX_ITER,0.0052955,1.4281124,Inf,45276512091,58064.59865,200,,
PRIMAL1,QOCO_SOLVED,0.0018079,0.0215031,0.023311,-0.035012907,5.95E-10,26,,
PRIMAL2,QOCO_SOLVED,0.0031041,0.0205243,0.0236284,-0.033733584,1.13E-10,18,,
PRIMAL3,QOCO_SOLVED,0.013478,0.0475101,0.0609881,-0.135755712,3.33E-09,19,,
PRIMAL4,QOCO_SOLVED,0.0124393,0.0342739,0.0467132,-0.746090815,7.47E-10,18,,
PRIMALC1,QOCO_SOLVED,0.0001625,0.0060727,0.0062352,-6155.250818,8.25E-18,19,,
PRIMALC2,QOCO_SOLVED,0.0002426,0.0040061,0.0042487,-3551.307291,5.89E-13,13,,
PRIMALC5,QOCO_SOLVED,0.0002092,0.0020902,0.0022994,-427.23228,2.82E-14,7,,
PRIMALC8,QOCO_SOLVED,0.0006119,0.0086845,0.0092964,-18309.4295,3.24E-13,12,,
Q25FV47,QOCO_SOLVED,0.0821497,1.2653031,1.3474528,13744192.09,1.55E-10,66,,
QADLITTL,QOCO_SOLVED,0.0005705,0.0041038,0.0046743,480319.941,7.96E-09,23,,
QAFIRO,QOCO_SOLVED,0.00011,0.001375,0.001485,-1.590769675,2.27E-14,12,,
QBANDM,QOCO_SOLVED,0.0018016,0.028111,0.0299126,16352.34143,8.83E-11,37,,
QBEACONF,QOCO_SOLVED,0.0015129,0.0140533,0.0155662,164712.0656,6.26E-10,25,,
QBORE3D,QOCO_SOLVED,0.0009764,0.0112592,0.0122356,3100.201084,3.54E-09,30,,
QBRANDY,QOCO_SOLVED,0.0008905,0.0196158,0.0205063,28375.13217,1.66E-09,25,,
QCAPRI,QOCO_MAX_ITER,0.0013148,0.2177135,Inf,57389448.3,3.86E-07,200,,
QE226,QOCO_SOLVED,0.0009833,0.022005,0.0229883,205.5404643,1.02E-09,27,,
QETAMACR,QOCO_SOLVED,0.0028147,0.2578612,0.2606759,86760.3872,1.03E-10,31,,
QFFFFF80,QOCO_SOLVED,0.0041441,0.130668,0.1348121,873272.7246,1.99E-09,41,,
QFORPLAN,QOCO_SOLVED,0.0026825,0.0664542,0.0691367,7456473147,5.99E-09,60,,
QGFRDXPN,QOCO_SOLVED,0.0019458,0.0320085,0.0339543,1.00791E+11,1.33E-09,30,,
QGROW15,QOCO_MAX_ITER,0.0025756,0.5114492,Inf,NaN,NaN,200,,
QGROW22,QOCO_MAX_ITER,0.0043599,0.8078922,Inf,NaN,NaN,200,,
QGROW7,QOCO_MAX_ITER,0.0014508,0.2881193,Inf,NaN,NaN,200,,
QISRAEL,QOCO_MAX_ITER,0.0009637,0.1908164,Inf,NaN,NaN,200,,
QPCBLEND,QOCO_SOLVED,0.0003521,0.0040964,0.0044485,-0.007844907,9.92E-10,20,,
QPCBOEI1,QOCO_SOLVED,0.0017757,0.0547237,0.0564994,11503914.08,2.06E-09,32,,
QPCBOEI2,QOCO_SOLVED,0.0007208,0.0158901,0.0166109,8171961.908,8.66E-14,32,,
QPCSTAIR,QOCO_SOLVED,0.0016211,0.1984162,0.2000373,6199556.73,5.10E-09,131,,
QPILOTNO,QOCO_MAX_ITER,0.0126586,2.3612044,Inf,1942394.121,1.65E-07,200,,
QRECIPE,QOCO_SOLVED,0.0005143,0.0082041,0.0087184,-266.6159913,1.26E-09,28,,
QSC205,QOCO_SOLVED,0.000806,0.0024491,0.0032551,-0.005813562,1.72E-10,12,,
QSCAGR25,QOCO_SOLVED,0.0013235,0.0207654,0.0220889,201737965.3,1.05E-10,33,,
QSCAGR7,QOCO_SOLVED,0.000576,0.0042029,0.0047789,26865951.08,6.09E-09,30,,
QSCFXM1,QOCO_SOLVED,0.001517,0.0551209,0.0566379,16882280.64,1.20E-09,57,,
QSCFXM2,QOCO_SOLVED,0.0028057,0.1285281,0.1313338,27766683.07,2.30E-09,67,,
QSCFXM3,QOCO_SOLVED,0.0059771,0.1722125,0.1781896,30806458.02,2.82E-09,63,,
QSCORPIO,QOCO_MAX_ITER,0.0012679,0.178789,Inf,NaN,NaN,200,,
QSCRS8,QOCO_SOLVED,0.0029366,0.0496979,0.0526345,904.5749024,3.06E-10,37,,
QSCSD1,QOCO_SOLVED,0.0021173,0.0185427,0.02066,8.666709023,1.36E-10,19,,
QSCSD6,QOCO_SOLVED,0.0025712,0.035257,0.0378282,50.80821606,4.66E-11,27,,
QSCSD8,QOCO_SOLVED,0.0061999,0.0568518,0.0630517,940.764367,2.32E-09,21,,
QSCTAP1,QOCO_SOLVED,0.0015095,0.0195679,0.0210774,1415.861904,1.38E-09,21,,
QSCTAP2,QOCO_SOLVED,0.0061267,0.1174498,0.1235765,1735.028432,1.06E-09,33,,
QSCTAP3,QOCO_SOLVED,0.0083983,0.1511015,0.1594998,1438.755496,1.75E-11,38,,
QSEBA,QOCO_SOLVED,0.002862,0.0579857,0.0608477,31693910.41,1.16E-09,42,,
QSHARE1B,QOCO_SOLVED,0.0009227,0.0114687,0.0123914,720078.3223,3.43E-10,35,,
QSHARE2B,QOCO_MAX_ITER,0.0003771,0.0700781,Inf,11632.54638,2.27E-08,200,,
QSHELL,QOCO_MAX_ITER,0.0564065,2.7311781,Inf,1.56788E+12,1.65E-08,200,,
QSHIP04L,QOCO_SOLVED,0.0047144,0.0302324,0.0349468,2420015.888,1.91E-11,26,,
QSHIP04S,QOCO_SOLVED,0.002807,0.0181475,0.0209545,2424994.326,1.08E-11,23,,
QSHIP08L,QOCO_SOLVED,0.0153413,0.8047689,0.8201102,2376040.673,8.80E-10,30,,
QSHIP08S,QOCO_SOLVED,0.0082903,0.111035,0.1193253,2385729.041,1.34E-10,26,,
QSHIP12L,QOCO_SOLVED,0.0268419,1.1060664,1.1329083,3018876.622,1.37E-09,31,,
QSHIP12S,QOCO_SOLVED,0.0067976,0.1211506,0.1279482,3056962.385,4.90E-09,28,,
QSIERRA,QOCO_SOLVED,0.0039508,0.0737481,0.0776989,23762888.42,2.31E-09,34,,
QSTAIR,QOCO_MAX_ITER,0.0016576,0.3560849,Inf,7943486.505,3.77E-08,200,,
QSTANDAT,QOCO_SOLVED,0.0018731,0.0356465,0.0375196,6412.967762,3.82E-09,33,,
S268,QOCO_SOLVED,7.16E-05,0.0002061,0.0002777,-14462.13938,1.33E-09,2,,
STCQP1,QOCO_SOLVED,0.0113318,0.2522038,0.2635356,155143.5548,3.42E-09,14,,
STCQP2,QOCO_SOLVED,0.0082393,0.6406471,0.6488864,22327.31328,6.56E-10,17,,
TAME,QOCO_SOLVED,1.93E-05,0.0001455,0.0001648,2.07E-19,9.36E-22,3,,
UBH1,QOCO_SOLVED,0.1786711,0.2098586,0.3885297,1.116000964,1.81E-09,23,,
YAO,QOCO_MAX_ITER,0.0011551,0.2810228,Inf,-260.7530639,2.50E-05,200,,
ZECEVIC2,QOCO_SOLVED,4.27E-05,0.0001669,0.0002096,-4.124999959,1.37E-15,4,,
